record_type,source_file,source_sr_no,state,constituency,mp_name,house,ida,work_id,work_category,work_type,work_description,recommended_date,sanction_date,completion_date,expenditure_date,consent_date,recommended_amount,sanction_amount,amount_disbursed,fund_disbursed_amount,consent_amount,allocated_amount,work_status,payment_status,vendor_name,calamity_type,calamity_name,image_marker
MP Allocated Limit,mplads_synthetic_feed.csv,1,Uttar Pradesh,Varanasi,Shri Narendra Modi,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,2,Uttar Pradesh,Lucknow,Rajnath Singh,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,3,Maharashtra,Nagpur,Nitin Gadkari,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,4,Maharashtra,Mumbai South,Piyush Goyal,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,5,West Bengal,Diamond Harbour,Abhishek Banerjee,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,6,Tamil Nadu,Coimbatore,K. Annamalai,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,7,Madhya Pradesh,Vidisha,Shivraj Singh Chouhan,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,8,Madhya Pradesh,Gwalior,Jyotiraditya Scindia,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,9,Karnataka,Bangalore South,Tejasvi Surya,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,10,Kerala,Thiruvananthapuram,Shashi Tharoor,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,11,Rajasthan,Jodhpur,Gajendra Singh Shekhawat,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,12,Himachal Pradesh,Hamirpur,Anurag Thakur,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,13,Haryana,Karnal,Manohar Lal Khattar,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,14,Assam,Dibrugarh,Sarbananda Sonowal,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,15,Odisha,Sambalpur,Dharmendra Pradhan,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,16,Maharashtra,Baramati,Supriya Sule,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,17,West Bengal,Krishnanagar,Mahua Moitra,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,18,Tamil Nadu,Thoothukkudi,Kanimozhi Karunanidhi,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,19,Telangana,Hyderabad,Asaduddin Owaisi,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,20,Bihar,Hajipur,Shri Chirag Paswan,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,21,Uttar Pradesh,Gorakhpur,Shri Gorakhpur Representative,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,22,Uttar Pradesh,Amethi,Shri Amethi Representative,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,23,Uttar Pradesh,Agra,Shri Agra Representative,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
MP Allocated Limit,mplads_synthetic_feed.csv,24,Uttar Pradesh,Kanpur,Shri Kanpur Representative,Lok Sabha,,,,,,2024-04-01,,,,,,,,,,50000000.0,,,,,,
