work_id,phase3_rule_id,phase3_state,finding_category,finding_source,legacy_rule_flags,legacy_final_risk_score,legacy_risk_tier,legacy_recommended_action,data_quality_flag
1218,MPLADS23-MON-001,REVIEW,MONITORING,"{""work_status"": ""Physical Inspection""}",completed_without_image; duplicate_description; stuck_status,75.8,High Risk - Review,Duplicate-work verification,NONE
1302,MPLADS23-MON-001,REVIEW,MONITORING,"{""work_status"": ""Physical Inspection""}",completed_without_image; duplicate_description; stuck_status,51.7,Medium Risk - Monitor,Duplicate-work verification,NONE
1303,MPLADS23-MON-001,REVIEW,MONITORING,"{""work_status"": ""Physical Inspection""}",completed_without_image; duplicate_across_mp; duplicate_description; stuck_status,92.2,High Risk - Review,Ghost-work field verification,NONE
1304,MPLADS23-MON-001,REVIEW,MONITORING,"{""work_status"": ""Physical Inspection""}",completed_without_image; duplicate_description; stuck_status,51.7,Medium Risk - Monitor,Duplicate-work verification,NONE
1305,MPLADS23-MON-001,REVIEW,MONITORING,"{""work_status"": ""Physical Inspection""}",completed_without_image; duplicate_description; stuck_status,51.7,Medium Risk - Monitor,Duplicate-work verification,NONE
1364,MPLADS23-MON-001,REVIEW,MONITORING,"{""work_status"": ""Physical Inspection""}",completed_without_image; duplicate_description; stuck_status; vendor_dominates_mp,78.5,High Risk - Review,Duplicate-work verification,NONE
1365,MPLADS23-MON-001,REVIEW,MONITORING,"{""work_status"": ""Physical Inspection""}",completed_without_image; duplicate_description; stuck_status; vendor_dominates_mp,78.5,High Risk - Review,Duplicate-work verification,NONE
1378,MPLADS23-MON-001,REVIEW,MONITORING,"{""work_status"": ""Physical Inspection""}",completed_without_image; duplicate_description; stuck_status; vendor_dominates_mp,78.5,High Risk - Review,Duplicate-work verification,NONE
1379,MPLADS23-MON-001,REVIEW,MONITORING,"{""work_status"": ""Physical Inspection""}",completed_without_image; duplicate_description; stuck_status; vendor_dominates_mp,78.5,High Risk - Review,Duplicate-work verification,NONE
1380,MPLADS23-MON-001,REVIEW,MONITORING,"{""work_status"": ""Physical Inspection""}",completed_without_image; duplicate_description; stuck_status; vendor_dominates_mp,78.5,High Risk - Review,Duplicate-work verification,NONE
152844,MPLADS23-PROH-001,REVIEW,PROHIBITED_WORKS,"{""work_type"": ""Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings"", ""work_category"": ""Normal/Others"", ""matched_keywords"": [""monument""]}",cost_outlier; disbursement_mismatch; stuck_payment; vendor_dominates_mp,97.0,High Risk - Review,Financial reconciliation,NONE
191645,MPLADS23-PROH-001,REVIEW,PROHIBITED_WORKS,"{""work_type"": ""Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings"", ""work_category"": ""Normal/Others"", ""matched_keywords"": [""monument""]}",disbursement_mismatch; stuck_payment; stuck_status,51.6,Medium Risk - Monitor,Financial reconciliation,NONE
213791,MPLADS23-PROH-001,REVIEW,PROHIBITED_WORKS,"{""work_type"": ""Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings"", ""work_category"": ""Normal/Others"", ""matched_keywords"": [""monument""]}",disbursement_mismatch; stuck_payment; stuck_status,47.3,Low Risk,Financial reconciliation,NONE
224571,MPLADS23-PROH-001,REVIEW,PROHIBITED_WORKS,"{""work_type"": ""NA-Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings"", ""work_category"": ""Normal/Others"", ""matched_keywords"": [""monument""]}",cost_outlier,34.3,Low Risk,Cost estimate verification,NONE
231070,MPLADS23-PROH-001,REVIEW,PROHIBITED_WORKS,"{""work_type"": ""Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings"", ""work_category"": ""Normal/Others"", ""matched_keywords"": [""monument""]}",completed_without_image; vendor_concentration,56.8,Medium Risk - Monitor,Vendor/procurement verification,NONE
241140,MPLADS23-PROH-001,REVIEW,PROHIBITED_WORKS,"{""work_type"": ""Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings"", ""work_category"": ""Normal/Others"", ""matched_keywords"": [""monument""]}",,16.8,Low Risk,Routine monitoring,NONE
256692,MPLADS23-PROH-001,REVIEW,PROHIBITED_WORKS,"{""work_type"": ""NA-Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings"", ""work_category"": ""Repair and Renovation"", ""matched_keywords"": [""monument""]}",,18.5,Low Risk,Routine monitoring,NONE
19897,MPLADS23-PROH-001,REVIEW,PROHIBITED_WORKS,"{""work_type"": ""Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings"", ""work_category"": ""Normal/Others"", ""matched_keywords"": [""monument""]}",completed_without_image; cost_outlier; stuck_status,40.9,Low Risk,Cost estimate verification,NONE
19897,MPLADS23-MON-001,REVIEW,MONITORING,"{""work_status"": ""Physical Inspection""}",completed_without_image; cost_outlier; stuck_status,40.9,Low Risk,Cost estimate verification,NONE
127389,MPLADS23-PROH-001,REVIEW,PROHIBITED_WORKS,"{""work_type"": ""Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings"", ""work_category"": ""Normal/Others"", ""matched_keywords"": [""monument""]}",completed_without_image; cost_outlier; stuck_status,49.4,Low Risk,Cost estimate verification,NONE
127389,MPLADS23-MON-001,REVIEW,MONITORING,"{""work_status"": ""Physical Inspection""}",completed_without_image; cost_outlier; stuck_status,49.4,Low Risk,Cost estimate verification,NONE
133823,MPLADS23-PROH-001,REVIEW,PROHIBITED_WORKS,"{""work_type"": ""Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings"", ""work_category"": ""Normal/Others"", ""matched_keywords"": [""monument""]}",completed_without_image; cost_outlier; payment_after_completion; rapid_completion; stuck_status,92.6,High Risk - Review,Financial reconciliation,NONE
133823,MPLADS23-MON-001,REVIEW,MONITORING,"{""work_status"": ""Physical Inspection""}",completed_without_image; cost_outlier; payment_after_completion; rapid_completion; stuck_status,92.6,High Risk - Review,Financial reconciliation,NONE
