cluster_key,state,cluster_size,mp_count,constituency_count,vendor_count,sanction_amount,sample_work_ids,sample_description,recommended_evidence
uttar pradesh_21000.0_nastreetlights,uttar pradesh,1842,1,1,0,21000.0,305994; 305995; 305996; 305997; 305998,NA-Street lights,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_20000.0_lightingofpublicspaces,uttar pradesh,1381,7,7,8,20000.0,157761; 157762; 163919; 163920; 163921,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_19000.0_lightingofpublicspaces,uttar pradesh,1075,3,3,3,19000.0,177426; 177427; 177428; 177429; 177430,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
gujarat_300000.0_constructionofroadslinkro,gujarat,944,44,26,699,300000.0,146627; 149675; 150647; 150648; 156549,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
gujarat_250000.0_constructionofroadslinkro,gujarat,901,39,23,641,250000.0,146625; 146629; 146647; 150634; 161453,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
odisha_200000.0_constructionofcommunityce,odisha,894,30,17,387,200000.0,23252; 75397; 75398; 75402; 75403,Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
gujarat_200000.0_constructionofroadslinkro,gujarat,821,37,22,592,200000.0,146658; 149676; 150644; 150650; 153570,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
andhra pradesh_500000.0_constructionofroadslinkro,andhra pradesh,756,32,21,244,500000.0,142919; 142920; 142921; 142923; 152222,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
odisha_300000.0_constructionofcommunityce,odisha,745,37,21,245,300000.0,75804; 151584; 191910; 191911; 191912,Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
karnataka_500000.0_constructionofroadslinkro,karnataka,734,40,23,307,500000.0,16194; 16218; 16239; 36823; 38666,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
telangana_500000.0_constructionofroadslinkro,telangana,720,28,14,270,500000.0,120692; 120770; 120886; 122775; 122787,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
gujarat_500000.0_constructionofroadslinkro,gujarat,712,44,25,425,500000.0,133669; 140608; 140613; 140632; 145845,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
odisha_500000.0_constructionofcommunityce,odisha,664,42,21,195,500000.0,75416; 75426; 75427; 129063; 133615,Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
karnataka_500000.0_constructionofcommunityce,karnataka,627,38,22,265,500000.0,24465; 136855; 146443; 149181; 172338,Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
gujarat_100000.0_constructionofroadslinkro,gujarat,598,23,18,335,100000.0,150639; 163941; 211227; 238621; 255752,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
madhya pradesh_163000.0_purchaseofmobilewatertank,madhya pradesh,582,10,9,15,163000.0,31160; 31164; 31165; 31167; 31169,Purchase of mobile water tankers,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_26000.0_nalightingofpublicspaces,uttar pradesh,581,1,1,0,26000.0,264992; 264993; 264994; 264995; 264996,NA-Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_174000.0_lightingofpublicspaces,uttar pradesh,546,7,5,9,174000.0,289971; 289972; 289973; 289974; 289987,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_74000.0_installinghandpumps,uttar pradesh,524,1,1,5,74000.0,143661; 143662; 143663; 143664; 143665,Installing hand pumps,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_119000.0_lightingofpublicspaces,uttar pradesh,521,7,6,9,119000.0,11802; 46976; 46977; 46978; 47033,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_173000.0_lightingofpublicspaces,uttar pradesh,499,6,5,9,173000.0,168521; 168522; 168523; 168524; 168525,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
jharkhand_300000.0_constructionofroadslinkro,jharkhand,498,16,10,40,300000.0,1775; 1776; 1777; 1778; 197452,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_178000.0_lightingofpublicspaces,uttar pradesh,483,5,5,10,178000.0,115030; 115031; 115032; 115033; 115034,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
maharashtra_1000000.0_naconstructionofcommunity,maharashtra,481,57,36,0,1000000.0,134075; 188423; 207524; 234244; 234316,NA-Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
madhya pradesh_500000.0_constructionofroadslinkro,madhya pradesh,474,42,22,420,500000.0,5658; 5972; 9772; 12510; 21251,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
maharashtra_1000000.0_constructionofroadslinkro,maharashtra,457,76,41,285,1000000.0,134252; 134253; 142046; 142047; 142048,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
himachal pradesh_200000.0_constructionofroadslinkro,himachal pradesh,432,8,5,253,200000.0,13598; 25132; 25135; 25141; 52819,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
jharkhand_250000.0_constructionofroadslinkro,jharkhand,422,13,10,36,250000.0,197449; 213343; 213344; 213345; 213354,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
madhya pradesh_205000.0_purchaseofmobilewatertank,madhya pradesh,407,5,5,12,205000.0,80984; 80985; 80986; 80987; 80988,Purchase of mobile water tankers,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
andhra pradesh_200000.0_installingtubewellsandbor,andhra pradesh,388,9,7,9,200000.0,143788; 152586; 168927; 173452; 173456,Installing tube-wells and borewells,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_166000.0_lightingofpublicspaces,uttar pradesh,383,4,4,4,166000.0,161050; 161051; 161052; 161053; 161054,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
telangana_200000.0_installingtubewellsandbor,telangana,373,12,9,34,200000.0,148640; 148669; 148671; 148675; 148680,Installing tube-wells and borewells,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
tamil nadu_200000.0_purchaseofsmartboardsvisu,tamil nadu,373,12,9,31,200000.0,265882; 265883; 265884; 265885; 265886,"Purchase of smart boards, visual display units and projectors","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
odisha_100000.0_installingcommunitydrinki,odisha,369,4,3,31,100000.0,159950; 159951; 159952; 159953; 159954,Installing community drinking water plants,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
odisha_250000.0_constructionofcommunityce,odisha,365,27,19,108,250000.0,23251; 194006; 194008; 243959; 272585,Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
himachal pradesh_100000.0_constructionofroadslinkro,himachal pradesh,362,8,5,188,100000.0,13579; 13582; 13585; 13595; 25131,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
maharashtra_1000000.0_constructionofcommunityce,maharashtra,362,65,37,191,1000000.0,133530; 134430; 138968; 140446; 143891,Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
maharashtra_1000000.0_naconstructionofroadslink,maharashtra,360,49,30,0,1000000.0,146690; 181819; 184467; 184468; 184469,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
odisha_250000.0_constructionofroadslinkro,odisha,348,20,14,121,250000.0,201186; 205448; 205449; 205452; 205453,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
karnataka_500000.0_constructionofbuildingsfo,karnataka,346,22,17,211,500000.0,150061; 193033; 173960; 175685; 175692,Construction of buildings for community cultural activities,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
