vendor,total_amount,sanction_amount,work_count,mp_count,ida_count,state_count,exposure_share,heuristic_state
KRIDL BHUSIRI ACCOUNT WORKS,589230296.98,671791131.0,835,35,19,1,0.7433,HIGH_CONCENTRATION
BIOLUNAR ENERGY SOLUTION,304133300.0,343120300.0,489,8,5,1,0.3836,NORMAL
R K Construction,303871380.0,304005926.0,355,10,9,1,0.3833,NORMAL
WEST BENGAL MEDICAL SERVICES CORPORATION LIMITED,298320273.0,307348000.0,5,5,1,1,0.3763,NORMAL
RANJIT SALES CORPORATION,221127900.0,221127900.0,338,8,5,1,0.2789,NORMAL
RAMJI CONSTRUCTION,215613961.0,221567161.0,12,7,3,2,0.272,NORMAL
CHANDAN ENTERPRISES,195693679.0,195693679.0,194,8,7,1,0.2469,NORMAL
HIDAYA QIRAT ENTERPRISES,194481595.0,203611906.0,205,8,7,2,0.2453,NORMAL
LUCKY ASSOCIATES,182863628.0,183812568.0,199,5,8,1,0.2307,NORMAL
SHRI GURU KRIPA NARSINGH ASSOCIATES,180544214.0,197473890.0,27,7,9,2,0.2277,NORMAL
SAI ENTERPRISES,163017633.0,174784675.0,158,9,4,2,0.2056,NORMAL
shyam swaroop manufacturere,161602123.61,161613970.61,759,4,8,1,0.2039,HIGH_CONCENTRATION
JF JAVID HUSSAIN,158392245.0,158448106.0,164,3,1,1,0.1998,NORMAL
ASSISTANT ENGINEER PATNA SAHIB,151708812.0,151953276.0,132,5,1,1,0.1914,NORMAL
MS RAMESH CHANDRA PATEL,149575856.0,150542256.0,72,2,1,1,0.1887,NORMAL
SRIJAN CONSTRUCTION,143029320.0,143703648.0,97,2,2,1,0.1804,NORMAL
Electromech Enterpries,141147595.63,144489715.63,658,4,3,1,0.1781,HIGH_CONCENTRATION
RMK ENTERPRISES,138703306.0,138703306.0,166,6,2,2,0.175,NORMAL
BIHARI JI MAHADEV ASSOCIATES,136645557.0,136697300.0,88,8,5,2,0.1724,NORMAL
JAI CONSTRUCTION,134606138.0,145009103.0,85,5,6,3,0.1698,NORMAL
rajasthan state coopretive marketing federation ltd jaipur,134482755.0,134486355.0,370,2,4,1,0.1696,NORMAL
SIGMA ENTERPRISES,134121656.0,134121656.0,47,1,1,1,0.1692,NORMAL
VEDIKA SINGH,133319272.0,133453121.0,125,5,1,1,0.1682,NORMAL
BAKE BIHARI TRADERS,129430138.0,138067795.0,463,3,4,1,0.1633,NORMAL
SHREE VISHNU TRADERS,127809405.0,127809405.0,407,5,3,1,0.1612,NORMAL
R K ENTERPRISES,126375153.8,127162273.85,220,8,7,3,0.1594,NORMAL
SHIV DURGA INDUSTRIES,124372249.0,124372249.0,91,4,4,1,0.1569,NORMAL
Junior Engineer Zila Parishad Prashant Kumar,124266175.0,136428300.0,181,3,1,1,0.1568,NORMAL
Praharsh Infrastructure,120401663.0,121397795.0,975,2,1,1,0.1519,HIGH_CONCENTRATION
M S Communication,116956176.85,119738300.85,419,8,6,1,0.1475,NORMAL
SBM Infrasture India,114994100.0,114994100.0,106,2,1,1,0.1451,NORMAL
MP Agro Biaora,113752215.0,115762983.0,298,2,1,1,0.1435,NORMAL
Alam Brothers,113404000.0,113404000.0,121,1,1,1,0.1431,NORMAL
